time_create,time_update,veterans_assistant,user_gt,text_question
2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,1,1,text_question 1
2023-12-08 12:34:10.733482,2023-12-08 12:34:10.733482,2,2,text_question 2
2023-12-08 12:34:10.733483,2023-12-08 12:34:10.733483,3,3,text_question 3
2023-12-08 12:34:10.733484,2023-12-08 12:34:10.733484,4,4,text_question 4
2023-12-08 12:34:10.733485,2023-12-08 12:34:10.733485,5,5,text_question 5
2023-12-08 12:34:10.733486,2023-12-08 12:34:10.733486,6,6,text_question 6
2023-12-08 12:34:10.733487,2023-12-08 12:34:10.733487,7,7,text_question 7
2023-12-08 12:34:10.733488,2023-12-08 12:34:10.733488,8,8,text_question 8
2023-12-08 12:34:10.733489,2023-12-08 12:34:10.733489,9,9,text_question 9
2023-12-08 12:34:10.733490,2023-12-08 12:34:10.733490,10,10,text_question 10
2023-12-08 12:34:10.733491,2023-12-08 12:34:10.733491,11,11,text_question 11
2023-12-08 12:34:10.733492,2023-12-08 12:34:10.733492,12,12,text_question 12
2023-12-08 12:34:10.733493,2023-12-08 12:34:10.733493,13,13,text_question 13
2023-12-08 12:34:10.733494,2023-12-08 12:34:10.733494,14,14,text_question 14
2023-12-08 12:34:10.733495,2023-12-08 12:34:10.733495,15,15,text_question 15
2023-12-08 12:34:10.733496,2023-12-08 12:34:10.733496,16,16,text_question 16
2023-12-08 12:34:10.733497,2023-12-08 12:34:10.733497,17,17,text_question 17
2023-12-08 12:34:10.733498,2023-12-08 12:34:10.733498,18,18,text_question 18
2023-12-08 12:34:10.733499,2023-12-08 12:34:10.733499,19,19,text_question 19
2023-12-08 12:34:10.733500,2023-12-08 12:34:10.733500,20,20,text_question 20
2023-12-08 12:34:10.733501,2023-12-08 12:34:10.733501,21,21,text_question 21
2023-12-08 12:34:10.733502,2023-12-08 12:34:10.733502,22,22,text_question 22
2023-12-08 12:34:10.733503,2023-12-08 12:34:10.733503,23,23,text_question 23
2023-12-08 12:34:10.733504,2023-12-08 12:34:10.733504,24,24,text_question 24
2023-12-08 12:34:10.733505,2023-12-08 12:34:10.733505,25,25,text_question 25
